key,開催日,開催場,開催回,クラス,クラス特徴,着順,枠番,馬番,馬名,性,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),4,6,11,ポーカー,牡,2,55,松山弘平,1:36.2,2.1/2,6-6,35.7,19.9,7.0,448(0),110.0,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),5,2,4,スピリットワールド,牡,2,55,武豊,1:36.5,2,9-9,35.7,7.9,3.0,520(0),70.0,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),6,7,14,ハイグッドエース,牡,2,55,古川吉洋,1:36.6,1/2,13-11,35.4,80.9,12.0,430(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),7,1,1,ウィングローリー,牡,2,55,福永祐一,1:36.7,1/2,13-13,35.3,12.0,4.0,474(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),8,4,8,レイビル,牡,2,55,藤岡康太,1:37.0,2,6-6,36.5,15.7,5.0,468(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),9,5,9,リアルグローリー,牡,2,55,幸英明,1:37.2,1,10-10,36.2,35.2,9.0,458(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),10,5,10,ドゥラッツォ,牝,2,54,高倉稜,1:37.2,1/2,6-6,36.8,109.4,14.0,458(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),11,7,13,ショウナンナージャ,牝,2,54,池添謙一,1:37.3,クビ,4-2,37.1,16.0,6.0,452(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),12,2,3,ゴーハッピーゴー,牝,2,54,大野拓弥,1:37.4,1/2,12-13,36.0,72.4,11.0,384(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),13,3,5,クロステック,牡,2,55,坂井瑠星,1:37.4,クビ,15-16,35.7,6.3,2.0,474(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),14,4,7,リリーラッシャー,牡,2,55,藤懸貴志,1:37.5,クビ,2-4,37.2,128.1,15.0,494(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),15,8,16,ロカビリークイッフ,牡,2,55,松若風馬,1:37.7,1.1/4,1-1,37.6,88.4,13.0,476(0),,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),16,8,15,メイショウイタマエ,牡,2,52,角田大和,1:38.1,2.1/2,15-15,36.5,205.2,16.0,488(0),,芝,1600m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),1,2,2,ダノンドリーマー,牡,3,55,ルメール,2:02.9,,4-5-3-3,35.9,3.9,3.0,488(+6),760.0,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),2,3,3,アナゴサン,牡,3,55,古川吉洋,2:02.9,クビ,1-1-1-1,36.2,41.3,7.0,458(+2),300.0,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),3,8,8,ディヴィーナ,牝,3,53,川田将雅,2:02.9,アタマ,6-5-6-6,35.7,1.8,1.0,420(-2),190.0,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),4,4,4,ニホンピロタイズ,牡,3,55,吉田隼人,2:03.0,1/2,2-2-2-2,36.2,14.5,4.0,496(+26),110.0,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),5,5,5,キングオブドラゴン,牡,4,53,古川奈穂,2:03.4,2.1/2,7-7-7-7,35.7,16.2,5.0,504(+30),76.0,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),6,1,1,グロリアムンディ,牡,3,55,福永祐一,2:03.9,2.1/2,4-4-3-3,36.9,3.8,2.0,490(+6),,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),7,6,6,グッドインパクト,牝,3,50,角田大和,2:04.6,4,8-8-7-7,37.0,108.9,8.0,436(+4),,芝,2000m,晴,良
202109040406,2021年10月17日,阪神,4回4日目,3歳以上1勝クラス,(混)(定量),8,7,7,ディクテイター,牡,3,55,岩田望来,2:04.8,1.1/4,2-2-3-3,37.8,41.1,6.0,518(+4),,芝,2000m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),1,6,6,ヴォワドアンジェ,牝,3,50,角田大和,1:54.6,,2-2-2-1,38.4,3.6,3.0,458(0),"1,100.0",ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),2,2,2,ゼンノジャスタ,牡,4,57,岩田望来,1:54.9,1.3/4,4-4-3-2,38.6,3.0,1.0,470(+6),440.0,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),3,8,10,ダイワドノヴァン,セ,7,57,Ｍ．デム,1:55.0,3/4,4-5-5-4,38.4,6.4,4.0,516(-18),280.0,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),4,5,5,メイショウシャガ,牡,4,54,西谷凜,1:56.0,6,9-9-7-5,39.2,42.6,8.0,510(+2),170.0,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),5,3,3,アースライザー,セ,4,57,幸英明,1:56.6,3.1/2,6-7-7-7,39.8,15.1,6.0,474(+6),110.0,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),6,7,8,マイネルブロッケン,牡,7,57,国分優作,1:56.7,1/2,6-5-5-5,40.1,36.1,7.0,448(+6),,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),7,7,7,クリノカポネ,セ,6,57,古川吉洋,1:57.5,5,8-8-9-7,40.4,109.9,9.0,450(+6),,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),8,8,9,マカオンブラン,牡,4,57,和田竜二,1:58.3,5,1-1-1-2,42.2,13.3,5.0,496(+6),,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),中,4,4,アドマイヤビーナス,牝,5,55,松山弘平,,,3-3-4-9,,3.5,2.0,496(+10),,ダ,1800m,晴,良
202109040407,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(特指)(定量),取,1,1,クインズバジル,牝,3,53,松若風馬,,,,,---,,計不,,ダ,1800m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),1,5,8,スペースクラフト,セ,5,57,松山弘平,1:24.5,,8-7,37.6,13.6,9.0,494(+4),"1,100.0",ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),2,7,12,テーオーポシブル,セ,5,57,荻野琢真,1:24.7,3/4,11-10,37.6,11.3,7.0,468(+6),440.0,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),3,4,5,タイミングナウ,セ,5,57,藤岡康太,1:24.7,ハナ,6-5,38.0,23.6,10.0,478(0),280.0,ダ,1400m,晴,良
202109040408,2021年10月17日,阪神,4回4日目,3歳以上2勝クラス,(混)(定量),4,7,11,ハリーバローズ,牡,4,57,岩田望来,1:24.9,1.1/4,2-1,39.0,9.8,6.0,494(+10),170.0,ダ,1400m,晴,良
